id,text
0,"@Raven_krishna Whole thread punctured in one tweet! 

https://t.co/qylgRq1Ons"
1,"RT @eatinginmycar: Things I don't need from a presidential candidate:
- Friendship
- Parenting
- Platitudes
- Niceness

Things I do need:
-…"
2,"@JBfromDC89 *sighs*
Election Night 2016 https://t.co/iyzm1UWLro"
3,RT @PoliticalShort: An illegal alien charged with raping a child was released by New York City authorities because of the city’s sanctuary…
4,RT @ProudResister: What is heartbreaking about the Democratic establishment’s blatant campaign to “stop Sanders” is the message that it sen…
5,"RT @liquidlaugh: Liberal sites telling Bernie Supporters to
""Suck it Up"" and Vote for Biden to defeat Trump
Will Bernie Bros Listen to thei…"
6,"RT @merlins_girl: And then there were 2 🤡🤡: 

❌🤡 One who is 78 and had a heart attack a few months ago. 

❌🤡 One who is 77 and obviously ha…"
7,House readies vote on emergency coronavirus spending bill https://t.co/7EqQQ6WWj6
8,"@BobP_kag @kuzcats @aaronjmate What did that interference consist of, and what was the proven effect? What laws wer… https://t.co/aZQtf6QIT3"
9,RT @BespokeHoover: trying to be patient but it's absolutely grating watching Warren supporters play the victim while some of the most margi…
10,"RT @davidcicilline: (Thread) Later today, the House will vote on an $8.3 billion emergency spending package to take on coronavirus. Here’s…"
11,"RT @Investigator_51: Fear Grips the Democratic Party, post-Super Tuesday Analysis 2020 https://t.co/3kEKcNammE"
12,RT @eliseswain: The historic grassroots movement led by Bernie Sanders has been systematically demonized and suppressed so that the broken…
13,everyone go out and vote :)
14,"RT @shaunking: This is you, right @maddow?

Do you not say, “The Bloomberg campaign is experiencing INTENSE PRESSURE from multiple sources…"
15,"RT @AhmedBaba_: Prepare for Hunter Biden to be this elections' ""EMAILS""

Running back to the playbook they’ve used since the 90s.

Investig…"
16,"RT @An_Aria_Blooms: #BernieOrBust2020 

90% of Berners went and voted for Hillary in 2016. AND YOU ALL SPENT 5 YEARS TRASHING THEM.

I don'…"
17,"RT @rantyben: FIGHTING CARBON EMISSIONS
WHO WOULD WIN

- Entire Global Movement, minority political parties in every democratic country, Pa…"
18,"#TrumpWillBeatBiden 
#BernieBeatsTrump 
#TooRisky
#TrumpBeatsBiden #VoteBernie #JoesMouth #CornPop 

I WANT TO WIN… https://t.co/4tlSvdjmEL"
19,RT @InternetHippo: Even in the face of pandemic the Democratic Party is trying to boost a candidate who doesn’t want universal health care…
20,Yesterday was rough. #SuperTuesday did not go as planned. I support Warren’s vision 100% but unfortunately there is… https://t.co/jEnCwBdJpC
21,New post (New cabinet committee struck to oversee federal response to COVID-19 | CBC News) has been published on ne… https://t.co/rjZPR7wnHd
22,@Trevornoah  Democratic Primary voter turnout proved that it will take one single thing to defeat Trump: for Democr… https://t.co/X6povwCk0y
23,Agreed
24,"RT @EusebiaAq: What Mr,Plouffe will not Tell you is that Latino Americans VOTERS have Never Been WELCOME by his @DNC. A Vote for Biden will…"
25,"RT @AhmedBaba_: Prepare for Hunter Biden to be this elections' ""EMAILS""

Running back to the playbook they’ve used since the 90s.

Investig…"
26,"RT @bennyjohnson: These people are SICK:

Pelosi’s ‘Dirty Little Secret’: She Held Back Coronavirus Funding Bill so DCCC Could Run Super Tu…"
27,"@Livs21d @ygofficialblink I vote #KillThisLove by 
@ygofficialblink for #BestMusicVideo at the #iHeartAwards"
28,RT @ramonlobo: How much money Mike Bloomberg spent per vote https://t.co/qETx7060DT
29,"RT @waltshaub: It's outrageous that he had to wait 7 hours to vote. I parked right in front of my polling site, walked in and voted without…"
30,"RT @jfreewright: In college, I’d have been all Bernie. I’m older now. Know the world better. In 30yrs, he’s built minimal cover in Congress…"
31,RT @gregolear: Do I have this right? It was a #riggedprimary because registered Democrats showed up in vast numbers to vote for a longtime…
32,"@hutchinson @Optic_Fan_Man Yea that’s a false narrative. Biden didn’t anass anything, that coalitions of older vote… https://t.co/rHIlngaySu"
33,RT @wnewsnetworks: #WNNops: What’s your take on the Democratic nomination process?  https://t.co/LCnT3wh5Ng
34,"RT @DavidJHarrisJr: It is such an honor to get to cast my vote for @realDonaldTrump!!! 
#Trumpin https://t.co/baTb5yFO3a"
35,@EyesRWatching_2 @GOPChairwoman @realDonaldTrump @GOP You're probably right. But it wouldn't surprise me if it did.… https://t.co/VrRGqdBPyF
36,@Darla_Crane So what are you saying? we vote Warren? We vote Biden?
37,"RT @ofthesparrows: not only did they vote against a review to include proper funding for flood defences, but they voted against *saying tha…"
38,"@TwinklingTania @mrrager1987 Bernie represents 1/4 of the Democratic party.
Not enough to win an election."
39,RT @trannyspice: no he did not lmaoo 😂😂😂😂
40,"RT @JordanUhl: Joe Biden was confronted by a vet who asked him why he should vote for someone who supported the Iraq War

Biden got defense…"
41,"RT @liquidlaugh: Liberal sites telling Bernie Supporters to
""Suck it Up"" and Vote for Biden to defeat Trump
Will Bernie Bros Listen to thei…"
42,"@cenkuygur @JoeBiden (Conspiracy) theory: Joe picks Hillary as VP, Trump's so bad that people vote just to get rid… https://t.co/zuR79VzfsL"
43,RT @EmeraldRobinson: New York City officials are releasing child rapists now.
44,"RT @Unrealbluegrass: The high turnout numbers in the Democrat primaries ,regardless of the outcome of Super Tuesday, has to be horrifying t…"
45,"RT @HeWhoSmugs: To be fair, Biden doesnt remember any of that"
46,"RT @LincolnsBible: Every time donald, his idiot kids, or anyone who changes his adult diaper goes in on Ukraine/Burisma, all @JoeBiden has…"
47,"RT @KyleKulinski: I also would really like ""new deal democrat"" to take the mantle from democratic socialist. This way we can remind everybo…"
48,RT @BillKristol: “Mike Bloomberg bought an insurance policy for the Democratic party. He paid for it out of his own pocket...All things con…
49,RT @nasboat5000: never forget that the party who feels entitled to your vote has come together twice in the past four years to back candida…
