Id,text,Keywords,Person,Location,Date,Organization
0,the UKIP east lothian candidate looks about 16 and still has an msn addy,"UKIP, east, lothian, candidate, looks ",,,,UKIP
1,UKIP's housing spokesman rakes in £800k in housing benefit from migrants.,"UKIP, housing, spokesman,housing, benifits, migrants",,,,
2,Make sure you tune in to  tonight on BBC 1 at 22:50!,"make, tune, tonight,BBC",,,tonight,BBC
3,Ed Milliband is an embarressment. Would you want him representing the UK?,"Ed, Milliband, embarressment, UK",Ed Miliband,,,
4,"  The FT is backing the Tories. On an unrelated note, here's a photo of FT leader writer Jonathan Ford (next to Boris) ","FT,backing, Tories, leader, Jonathan, Ford, picture,image, photograph,note, boris, author",,,,
5,“ Ed Miliband proved tonight why he's not up to the job you've spent 5 years doing that you salivating do,"Ed, Miliband, tonight, job, evidence,salivating",Ed Miliband,,tonight,
6,LOLZ to Trickle Down Wealth. It's never trickling past their own wallets. Greed always wins $$$ for the greedy.,"LOLZ, wealth",,,,
7,"  Cameron ""Ed Milliband hanging out with Russell Brand. He is a joke. This is an election. This is about real people' ","Cameron, Ed,Milliband, Russell, Brand, election,joke,people","Cameron, Ed Milliband, Russell Brand",,,
8,"If Miliband is refusing to do any deal with the SNP, how does he plan on forming a government?","Miliband, refusing, SNP, government, deal,reject",Miliband,,,
9,Well thats it. LABOUR would rather have a TORY government rather than work with the SNP.,"labour, government, work, snp",,,,
10,Cameron wins last TV contest of election campaign - poll: LONDON (Reuters) - Prime Minister David Cameron won the…,"Cameron, wins, TV, election, campaign, contest,london,television, prime,minister,david,reuters,poll,vote",Cameron,,,
11,"How dare  force Socialists to chose between the English LP and the SNP! The  are the last, true Socialist party in the UK","Socialists, chose, SNP, UK, select,english,",,UK,,"LP, SNP"
12,"  The FT is backing the Tories. On an unrelated note, here's a photo of FT leader writer Jonathan Ford (next to Boris) ","FT,backing, Tories, leader, Jonathan, Ford, picture,image, photograph,note, boris, author",,,,
13,the anti-Scottish feeling is largely a product of Tory press scaremongering. In practice most people won't give a toss!,"anti-Scottish, Tory, scaremongering, practise, feeling, product,people",,,,
14,Miliband - I'd pass on PM job rather than do deal with Scots nationalists: LONDON (Reuters) - British Labour Party…,"Miliband, PM, job, Scots, LONDON,nationalist,reuters,party,job",Miliband,LONDON,,
15,Nick Clegg is just as responsible for this Govt's failing  plan as David Cameron - he's backed the Tories all the  way,"Nick, Clegg, responsible, Govt, David, Cameron,government","Nick, Clegg, David, Cameron, govt, responsible, ",,,
16,Will the person who dropped a Vote SNP badge please call at Kilmarnock police station to collect it.,"dropped, Vote, SNP,badge,kilmarnock,police,station,collect",,,,
17,The Sun’s Twitter worm appears to believe Ed Miliband is winning so far,"Sun, Twitter, Ed, Miliband, winning, worm,appears, viruse",Ed Miliband,,,"Sun's, Twitter"
18,"  I'm  in my entire adult life I've only seen Labour &amp; Tories cause misery, war, and further victimisation of t…","Labour, Tories, Misery, war, victimisation",,,,
19,Jeremy Vine doesn't think the SNP Scottish takeover merits a mention,"Jeremy, Vince, SNP, Scottish, merits","Jeremy, Vine",,,
20,"  ""UKIP is the bastard child of the big three parties. With apologies to all bastards."" -  at the University of …","UKIP, bastard, child, three, parties,university,apologies",,,,
21,Scenes of celebration in Glasgow as  applaud a  victory. Just a bit of fun. Or is it? :-),"Scenes, Celebration, Glasgow, victory, triumph.celebration",,,,
22," SNP thickos look forward to having the balance of power, bringing fair, decent policies that fascists bigots like u detest!"," SNP, balance, power, policies",,,,SNP
23,Another humongous lie from David Cameron. He has not clamped down on Tax Avoidance. Uncollected Tax has risen,"lie, David Cameron, clamp, Tax","David, Cameron",,,
24,"  Guardian front page, Friday 1 May 2015: Miliband hardens his line: I will not do deal with SNP ","Miliband, not,deal, SNP",,,Friday 1 May 2015,
25,Ed is free to say he wont do a deal. It is  who will never be forgiven if they vote down a Labour go…,"Ed, free wont, deal, vote, down, Labour",,,,
26,The Tory spin message about David Cameron's performance is a bit obvious,"Troy, spin, David, Cameron's,performance",,,,
27,Does Ed's rejection of Lab/SNP deal undermine Cameron's plea to Ukippers to 'come home' on the basis of that proposal?,"Ed's, rejection, undermine, Ukippers","Ed, Cameron",,,
28,Miliband on Question Time: I won't have Labour government if it means SNP deal,"Miliband, won't, Labour, goverment, SNP",Miliband,,,
29,Watch: Ed Miliband trips off the stage following Question Time leaders special,"Miliband, trips, off, Question, ed,time,leader,stage",,,,
30,"  Scottish audience all address Sturgeon as ""Nicola"". Earlier on QT it was ""Mr Cameron"", ""Mr Miliband"" &amp; ""Mr Clegg"". ","Scottish, Stugeon, ""Nicola"", Earlier,QT, Cameron"", Clegg""","Cameron"", Clegg"",",,,
31," If Miliband will step aside to let Tories in, we need 59 SNP MPs more than ever to stand up for Scotland  ","Miliband, Tories, 59, SNP, MPs, Scotland",Miliband,,,
32,I just heard Milliband's pronouncements........ Oh dear.... Cutting off his nose to spite the Scots....,"Miliband's, pronouncements, Scots",Miliband,,,
33,UKIP's housing spokesman rakes in £800k in housing benefit from migrants.,"UKIP, housing, spokesman,housing, benifits, migrants",,,,UKIP
34,Tories 1st introduced PFI In NHS not Labour. Here's Ken Clarke boasting of it.,"Tories, PFI, NHS, Labour, Ken, Clark",Ken Clark,,,
35,"  It's far easier for Labour to work as a minority govt than the Tories. Miliband can call SNP's bluff, while Cameron has n…","Labour, minority, govt, Tories, Milliband, Cameron","Tories, Milliband, Cameron",,,
36,We learnt the most from the question David Cameron wouldn't answer tonight: clear now the Tories will cut Child Benefit,"David Cameron, Tories, Child, Benefit","David Cameron, Tories",,,
37,that's a tad semantic? perhaps we should use recent general election results as best guide,"Recent, General, election, results, guide",,,,
38,The historic link between Labour and the trade unions is about to break - thanks to the SNP | via,"historic, link, Labour, trade, union, break, SNP",,,,
39,Ed Miliband's in denial about his past squandering of our money. Don't let him do it again,"Ed, Miliband's, denial, squandering, money",Ed Milliband,,,
40,Murphy in Scotland insults our intelligence. Milliband in London demeans all Scots. The Scots will not take it lying down…,"Marphy, Scotland, insult, intelligence, Milliband, demeans, Scots","Murphy, Milliband",,,
41,Off to Citizens MK assembly to show my commitment to living wage. Another no show from my Tory opponent.,"Off, Citizens, MK, assembly, commitment, wage, Tory, opponent",Tory,,,
42,"  ICM found just 6%  viewers changed their mind. Small sub sample but: Clegg won 32% of switchers, Cam 25% Ed 20% ","ICM, 6%, changed, mind, Clegg, switchers, Cam, 25%, Ed, 20%","Clegg, Cam, Ed",,,
43,"  Russell Brand wants to hug people who thinks its ok to chop peoples heads off on our streets.
Miliband is only reaching out to…","Russell Brand, hug, people,think, ok, chop, heads, Milliband",Milliband,,,BBC
44,"So, on BBC Question Time's election special interview with the various party leaders, Miliband relented to the... ","BBC, special, interview, party, leaders",,,,
45,Bbc scotlands entire lead story is 'nicola sturgeon won't rule out what she's already ruled out',"Bbc, lead, story, ""nicola, sturgen, wont",,,,
46,"  Leaked reports that  feared ""inevitable ""election defeat so ran a campaign of false flags, muddying of the wate…","Leaked, reports, ""inevitable, ran, campaign, false, flags",,,,
47,Labour will do a deal with SNP make no mistake! Scotland will rule the UK!,"Labour, deal, SNP,Scotland, rule, UK",,Scotland,,SNP
48,"And like LibDem leader Mr C said, he had to make hard and brave decision 5yrs ago, to save Britain becm like Greece; huge impact stories","LibDem, C, make hard, decision, 5yrs, Britain, becm, Greece",C,,,
49,"  Great line from Lucy Powell on Miliband's minor trip: ""Ed slipped on David Cameron's sweat.""  ","Lucy, Powell, Miliband's, trip, slipped, David Cameron, sweat","Lucy, Powell, Miliband's, David, Cameron",,,
50,"  While Cameron slags off Miliband for meeting Russell Brand, shall we just bear this in mind? ","Cameron, slags, Milliband, meeting, Russel, Brand","Cameron, Milliband, Russel, Brand",,,
51,"  David Cameron says child benefit is ""key"" for UK families   ","David, Cameron, child, benefit, key","David, Cameron",,,
52,The Tory spin message about David Cameron's performance is a bit obvious,"spin, message, David, Cameron's, performance","David, Cameron's",,,
53,I knew BBC news would put more emphasis on Ed Milliband's slight trip at the end of his question time session than the who…,"BBC, emphasis, Ed, Milliband's, trip, question,news","Ed, Milliband's",,,BBC
54,"  While Cameron slags off Miliband for meeting Russell Brand, shall we just bear this in mind? ","Cameron, slags, Milliband, meeting, Russel, Brand",,,,
55,I will ask David Cameron if he has the Liam Byrne note in his pocket tomorrow. Apparently he takes it 'everywhere',"David, Cameron, Liam, Byrne, note,tomorrow","David, Cameron, Liam, Byrne",,,
56,"  Unexpectedly, it looks like UKIP want the royal coat of arms taken off the UK passport. ","UKIP, royal, arms, UK, passport",,,,UKIP
57," In what conceivable situation could the SNP vote against Labour (bar Trident) without compromising on ""locking the Tories out""?","SNP, vote, against, Labour, compromising, Tories",,,,
58,Safe to say EdM’s weak performance showed he’s too weak to stand up to SNP. Truth is British people would pay price ht…,"EdM's, performance, weak, SNP",EdM,,,SNP
59,No surprise there   “,surprise,,,,
60,I want to be completely clear: there will no coalition and no deals with the SNP.,"no, coalition, deals, with, SNP",,,,SNP
61,"  If the other parties snub the SNP out of spite, they're disenfranchising Scottish people and pushing support for Indy up.","parties, snub, SNP, spite, Scottish, support, Indy",,,,SNP
62,They  said they would but Milliband saying he'd rather Tory govt than SNP backing,"Milliband, Tory, govt, SNP, backing","Milliband, Tory",,,SNP
63,"As someone who is going to grimly, disappointedly go and vote Labour again this time round, please,  stop ruling out SNP deals.","vote, Labour, ruling SNP, deals",,,,SNP
64," Farage and Carswell only likely, maybe 1 or 2 others. Need strong showing by Orange Book Lib Dems. Clegg looks like a gonner.","Farage, Carswell, Orange, Book, Lib, Dems, Clegg","Frage, Carswell, Clegg",,,
65,Ed Miliband bases his campaign around not trusting us on the EU. What would it say about us if we elected him?,"Ed ,Milliband, campaign, not, trusting, EU",Ed Milliband,US,,EU
66,Ed Miliband bases his campaign around not trusting us on the EU. What would it say about us if we elected him?,"Ed, Milliband, campaign, not, trusting, EU, elected",Ed Milliband,US,,EU
67,Nobody but UKIP will want to cosy up to the Tories - both Labour and  SNP know this.,"UKIP, cosy up, Tories, Labour, SNP, know",Tories,,,"UKIP, Labour, SNP"
68,"  If Labour let the Tories back into power, Wales will never forgive them. ","Labour, Tories, back, power, Wales, never","Tories, Wales",,,Labour
69,Miliband has just sacrificed  - he'd let the Tories stay in government rather than work with the,"Miliband, sacrificed, Tories, stay, government, work","Miliband, Tories",,,
70,Why won't Miliband challenge the idea that the country does not run a household budget?,"Miliband, challenge, country, run, household, budget,thought",Miliband,,,
71,Miliband made a 'Reverse Vow'. Can only be effective if media run as 'No Deal' instead of 'Tory Threat'. How will,"Miliband, Reverse ,Vow, effective, media, Deal",Miliband,,,
72,- forget coalition would be disaster for SNP.You'll need their votes so be realistic here .If you agree-what's the problem?,"alliance, vote, trouble, coalition,snp, votes,agree-what, problem",,,,SNP
73,Why do they keep acting like Alex Salmond is still the leader of the SNP? Must be cause their shitting themselves from the boss Sturgeon,"keep, acting, Alex, Salmond, leader ,SNP, ",Alex Salmond,,,
74,Ed Miliband : it wasn't the spending on teachers &amp; nurses in Britain that crashed the global economy. 'Bout time someone sa…,"Ed Milliband, teachers &amp; nurses, crashed, economy",,,,
75,"  Appalling performance by Miliband, hand in pocket, just turned his back in  audience. No answers ","Milliband, hand, pocket, turned, back, audience",Milliband,,,
76,Lib Dems expose secret Tory plan to 'slash' child benefit to meet £8bn cuts target,"Lib Dems, secret, Tory, plan, child, benefits, cuts, £8bn",,,,"Lib Dems, Tory"
77,Ed Milliband came on top on the Sun's Twitter worm. Bet they won't mention that in their paper tomorrow.,"Ed, Miliband, came, Sun, Twitter, paper,tomorrow,worm",Ed Miliband,,,
78,"  The FT is backing the Tories. On an unrelated note, here's a photo of FT leader writer Jonathan Ford (next to Boris) ","FT, bacFT,backing, Tories, leader, Jonathan, Ford, picture,image, photograph,note, boris, authorking, Tories. leader, Jonathan Ford, Boris","Jonathan Ford, Boris",,,
79," safe to vote SNP and the Tories won't get in, and the Tories will get loads off UKIP voters scared of the SNP","safe, vote, SNP, Tories, UKIP, scared, ballot, election,",,,,"SNP, UKIP"
80," and y'know, the tories not voting down supply bills. like they did that one time.","tories, voting, down, bills",,,,
81,the guy wearing a Boris Johnson mask claiming to support UKIP was released instantly apparently? …,"wearing, Boris, Johnson, claiming, support ,UKIP",,,,UKIP
82,The audience's time with Nick Clegg was irritating. Heckled rather than asking him important policy questions.,"audience, Nick. Clegg, irritating, Heckeld, policy, questions",Nick Clegg,,,
83,My last tweets show UKIP's real policies on the NHS. You can see for yourself at  - or you could …,"UKIP, policies, NHS,tweets",,,,UKIP
84,How can Ed Miliband form a minority government without some kind of tacit deal with the SNP?,"Ed, Miliband, form, minority, government, deal, SNP,kind",Ed Miliband,,,SNP
85,"  Nick Clegg. Makes it clear that Lib Dems are willing to go into coalition with the Tories - AGAIN ! Are you listening,  …","Nick, Clegg, Lib Dems, coalition, Tories",Nick Clegg,,,"Lib Dems, Tories"
86,These pundits talking about reaction of  audience is ludicrous. On the BBC's own admission half of them were Tories &amp; LibDens,"reaction, audience, ludicrous, BBC's, Tories, Lib ,Dens,pundith, admission,half,",,,,"BBC's, Tories %amp; Lib Dens"
87,"  No deals, no coalition - quite clear. The only way to keep the Tories out is to vote  No other way."," deals, coalition, keep, Tories, out, vote, poll",,,,Tories
88,"  The FT is backing the Tories. On an unrelated note, here's a photo of FT leader writer Jonathan Ford (next to Boris) ","FT,backing, Tories, leader, Jonathan, Ford, picture,image, photograph,note, boris, author","Jonathan Ford, Boris",,,FT
89,"   It's not a bluff Jim, If Lab let the Tories in instead of being supported by SNP to form a gov, they wi…","Jim, Tories, instead, supported by, SNP, form gov",Jim,,,Tories
90,Nick Clegg risks losing his seat in general election,"Nick, Clegg, risks, losing, seat, election",Nick Clegg,,,
91,Well thats it. LABOUR would rather have a TORY government rather than work with the SNP.,"LABOUR, TORY, SNP",,,,"LABOUR, TORY, SNP"
92,"  The FT is backing the Tories. On an unrelated note, here's a photo of FT leader writer Jonathan Ford (next to Boris) ","FT,backing, Tories, leader, Jonathan, Ford, picture,image, photograph,note, boris, author","Jonathan Ford, Boris",,,FT
93," Russell forces Miliband to say ""hapax mogolgnon"" ","Russell, forces, Miliband, hapax, mogolgnon","Russell, Miliband",,,
94," Evans This Lady is a little gem. Straight talking, intelligent fierce UKIP warrior. What you see is what you get. Love the honesty.","Evans, Lady, UKIP, warrior.love, honesty,gem",Evans,,,UKIP
95,"You are misinformed.If you do actually want to learn about UKIP, feel free. ","want, learn, UKIP, feel, free,misinformed",,,,UKIP
96,Crazy statements like that just confirms to me I made the right decision in leaving Labour for the SNP.Tim…,"statement, confirms, right, descision, leaving, Labour, SNP, Tim",Tim,,,Labour
97,Vote for us or we'll set the Tories on you'. I just can't see this as anything other than a suicide note for,"Vote, set, Tories,suicide,note",,,,Tories
98,that we can agree on. You over the border in Scotland? I'm in safe Tory seat not seen our Tory candidate /shrug UKIP/LD busy here,"over, boarder, Scotland, safe, Tory, UKIP/LD, seat",,Scotland,,"UKIP/LD, Tory"
99,So Milliband and Labour would rather allow the Tories back in than form a Government. Why is he standing then!...,"Milliband, Labour, Tories, form, Government",Milliband,,,"Labour, Tories"
