id,text
0,"RT @SteveScalise: WATCH: Trump's counsel explains what this is really about for Dems:

""They're asking you not only to overturn the results…"
1,"RT @Tutsy22: Her name is Lillian Daniel Gyang, a native of Berom, Plateau State. She is 20-year old, a 100 level student of Zoology, Unimai…"
2,"RT @SenKevinCramer: As I said on this morning‘s @foxandfriends, Democrats already admitted this is all about the next election, but the pow…"
3,George Soros should be afraid of his fate on Judgement day with the Lord!
4,"RT @jelani9: We normally look at Presidents and point out how quickly the office ages them. 

This is the first time that the President loo…"
5,"RT @iDGiam: @jarvok01 LNP &amp; labor stand so close now, you can't see daylight between them... Before the next election there will be new par…"
6,"RT @parminder1397: I need to know the state and country our Shehnaz family is from.

Tell in comments with tag #BornFighterSana"
7,The fact that we have these childish antics makes my eyes roll. I wonder how Pompeo would have acted had he been in… https://t.co/fI60dwfzYE
8,"RT @DDsulzbach: LMAO I kid you not, a lady just recognized me thru the Wendy's drive thru! She fist bumped me and said, ""fuck onision""  I s…"
9,"RT @_ihudiya: A LIL INTRODUCTION 🧐
My name is Rose Ihudiya Amuzie
I grew up in Ajegunle/still living in Ajegunle (which is considered one o…"
10,"RT @eliehonig: Trump has repeatedly claimed not to know Lev Parnas. Now, on top of the photos, we have a recording that appears to show the…"
11,"RT @fugitivemind72: Having a mental disability is fucking hard enough, I know but Fuck..this shit is terrible."
12,"RT @trish_regan: #ICYMI #Dems so blinded by hate for Trump, they’re handing him the #2020 election! This week will go down in history as th…"
13,"RT @rawnksood: No, I m not secular. Nobody asks Muslims if you are secular. No one asks Christians about their secularism. But why should t…"
14,"RT @my3monkees: “I caught the swamp. I caught them all. I caught all of this corruption that is going on.”
@realDonaldTrump 

THIS IS WHY D…"
15,@bradmiska ive been considering film school (lucky for me my state has a good public college with film and A/V tech… https://t.co/wP1ry47s1V
16,@SenMcSallyAZ Paper ballots. Tell #MoscowMitch to get off of his ass and pass the election security bills. https://t.co/zhUingToY4
17,RT @BillKristol: Pompeo is normally pretty controlled and unflappable. Why did he snap? Is he just annoyed he’s stuck at Secretary of State…
18,"RT @Grace_undiluted: A retweet can save the day, please help me retweet this till it gets the publicity it needs

Jessica oluebube is a 19y…"
19,"RT @parminder1397: I need to know the state and country our Shehnaz family is from.

Tell in comments with tag #BornFighterSana"
20,"RT @FairmontState: UPDATE: Following further assessment of the needed repairs, Fairmont State's campus will remain OPEN on Sunday, Jan. 26.…"
